@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Time_training numeric
@attribute Time_testing numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 63\nSize of the tree: 94\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 51\nSize of the tree: 77\n','Number of leaves: 59\nSize of the tree: 87\n','Number of leaves: 66\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 88\n','Number of leaves: 60\nSize of the tree: 88\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 38\nSize of the tree: 50\n','Number of leaves: 55\nSize of the tree: 75\n','Number of leaves: 53\nSize of the tree: 71\n','Number of leaves: 51\nSize of the tree: 60\n','Number of leaves: 37\nSize of the tree: 53\n','Number of leaves: 37\nSize of the tree: 48\n','Number of leaves: 32\nSize of the tree: 43\n','Number of leaves: 61\nSize of the tree: 76\n','Number of leaves: 62\nSize of the tree: 78\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

weather,1,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,1,4,0,20,80,0,0,0.8,0.894427,146.666667,163.978318,5.687518,4296,-4290.312482,1.137504,859.2,-858.062496,-2.360373,-0.472075,-237.45485,0.2,1,0,0,0,0,0.8,4,1,0.2,0.333333,0,0.001,?,?,?,?
weather,2,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,2,3,0,40,60,0,-0.153846,0.6,0.774597,110,131.475147,6.542271,3222,-3215.457729,1.308454,644.4,-643.091546,-0.459432,-0.091886,-54.348034,0.5,1,0.666667,2,0.333333,1,0.5,1,0.333333,0.5,0.4,0,0,?,?,?,?
weather,3,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,2,3,0,40,60,0,-0.153846,0.6,0.774597,126.923077,157.680099,4.875093,3222,-3217.124907,0.975019,644.4,-643.424981,-1.459432,-0.291886,-154.329373,0.333333,1,0.5,1,0.5,1,0.666667,2,0.5,0.333333,0.4,0.001,0,?,?,?,?
weather,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,1,4,0,20,80,0,-0.428571,0.8,0.894427,169.230769,188.648444,4.63538,4296,-4291.36462,0.927076,859.2,-858.272924,-3.412511,-0.682502,-343.300488,0.25,1,1,1,0,0,0.75,3,0.5,0.25,0.333333,0.001,0,?,?,?,?
weather,5,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,3,2,0,60,40,0,0.166667,0.4,0.632456,84.615385,128.745262,4.875093,2148,-2143.124907,0.975019,429.6,-428.624981,0.652077,0.130415,68.954644,0.666667,2,0.5,1,0.5,1,0.333333,1,0.666667,0.666667,0.666667,0.001,0,?,?,?,?
weather,6,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,2,3,0,40,60,0,0.117647,0.6,0.774597,126.923077,163.374345,4.63538,3222,-3217.36462,0.927076,644.4,-643.472924,-1.400538,-0.280108,-140.894906,0.25,1,0,0,1,1,0.75,3,1,0.25,0.4,0,0,?,?,?,?
weather,7,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,2,3,0,40,60,0,0,0.6,0.774597,110,142.009389,5.687518,3222,-3216.312482,1.137504,644.4,-643.262496,-0.3484,-0.06968,-35.049267,0.4,2,0,0,0,0,0.6,3,1,0.4,0.571429,0,0,?,?,?,?
weather,8,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,3,2,0,60,40,0,0.166667,0.4,0.632456,84.615385,128.745262,4.875093,2148,-2143.124907,0.975019,429.6,-428.624981,0.652077,0.130415,68.954644,0.666667,2,0.5,1,0.5,1,0.333333,1,0.666667,0.666667,0.666667,0.001,0,?,?,?,?
weather,9,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,2,3,0,40,60,0,-0.363636,0.6,0.774597,126.923077,157.680099,4.875093,3222,-3217.124907,0.975019,644.4,-643.424981,-1.459432,-0.291886,-154.329373,0.666667,2,1,2,0,0,0.333333,1,0.5,0.666667,0.571429,0,0,?,?,?,?
weather,10,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,5,1,4,0,20,80,0,-0.666667,0.8,0.894427,169.230769,182.073295,4.875093,4296,-4291.124907,0.975019,859.2,-858.224981,-3.57094,-0.714188,-377.61339,0.333333,1,1,2,0,0,0.666667,2,0.333333,0.333333,0.333333,0,0,?,?,?,?
autos,1,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,70,30,40,0,42.857143,57.142857,0,0.264126,0.163265,0.404061,72.783188,119.114691,167.87199,42960,-42792.12801,2.398171,613.714286,-611.316114,55.271028,0.789586,2400.369479,0,0,0,0,1,70,0,0,0,0,0,0.007,0.002,?,?,?,?
autos,2,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,70,29,41,0,41.428571,58.571429,0,0.246324,0.167347,0.409081,74.593209,120.728091,175.731521,44034,-43858.268479,2.51045,629.057143,-626.546693,45.735979,0.653371,2011.669471,0,0,0,0,1,70,0,0,0,0,0,0.007,0.002,?,?,?,?
autos,3,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,70,37,33,0,52.857143,47.142857,0,0.38136,0.134694,0.367007,60.409952,109.275453,163.960255,35442,-35278.039745,2.342289,506.314286,-503.971996,68.007516,0.971536,2922.388162,0,0,0,0,1,70,0,0,0,0,0,0.012,0.002,?,?,?,?
autos,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,70,44,26,0,62.857143,37.142857,0,0.510621,0.106122,0.325764,47.651007,97.070423,166.147414,27924,-27757.852586,2.373534,398.914286,-396.540751,84.08449,1.201207,3642.783385,0,0,0,0,1,70,0,0,0,0,0,0.007,0.001,?,?,?,?
autos,5,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,70,35,35,0,50,50,0,0.333696,0.142857,0.377964,63.824323,112.005734,167.77735,37590,-37422.22265,2.396819,537,-534.603181,63.588092,0.908401,2753.149064,0,0,0,0,1,70,0,0,0,0,0,0.007,0.001,?,?,?,?
